Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
17726,18746.050000000003,242678.60,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon EC2 ,4700,1490,22580.00,USD,"Tenancy (Dedicated Instances), Operating system (Linux), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 10), Enable monitoring (disabled), Advance EC2 instance (t3.large), Pricing strategy ( 1 Year  All upfront), Storage amount (30 GB), Snapshot Frequency (No snapshot storage)"
My Estimate,US East (N. Virginia),,Amazon EC2 ,5570,1490,23450.00,USD,"Tenancy (Dedicated Instances), Operating system (Linux), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 10), Enable monitoring (disabled), Advance EC2 instance (m4.large), Pricing strategy ( 1 Year  All upfront), Storage amount (30 GB), Snapshot Frequency (No snapshot storage)"
My Estimate,US East (N. Virginia),,Amazon RDS for PostgreSQL,7456,1840,29536.00,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (2000 GB), Nodes (4), Instance Type (db.m5.large), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (Reserved), Lease Offering Term (1yr), Purchase Option (All Upfront)"
My Estimate,US East (N. Virginia),,S3 Standard,0,23,276.00,USD,S3 Standard storage (1000 GB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,
My Estimate,US East (N. Virginia),,Amazon Route 53,0,125.5,1506.00,USD,"Basic Checks Within AWS (300), Hosted Zones (1)"
My Estimate,US East (N. Virginia),,VPN Connection,0,0,0.00,USD,Working days per month (22)
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,9065.7,108788.40,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),,Amazon CloudWatch,0,7,84.00,USD,"Number of Metrics (includes detailed and custom metrics) (10), GetMetricData: Number of metrics requested (100000), GetMetricWidgetImage: Number of metrics requested (100000), Number of other API requests (100000)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,4704.85,56458.20,USD,Number of Application Load Balancers (2)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
